站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
振興公園地下停車場站,台北市北投區天母西路112號(地下一樓機車停車場)(近臺北榮民總醫院),24HR,已啟用,25.118785,121.523261,https://cdn.gogoro.com/resources/images/gostations/TW1128301A_01.jpg
文藻美語土城站,新北市土城區延和路42-1號(近安和國小),24HR,已啟用,24.988777,121.465238,https://cdn.gogoro.com/resources/images/gostations/TW2364801A_01.jpg
新化聯合活動中心站,台南市新化區民生路269號(近農田水利會),24HR,已啟用,23.042164,120.306927,https://cdn.gogoro.com/resources/images/gostations/TW7124601A_01.jpg
新市區農會站,台南市新市區復興路1-1號(近新市國小),24HR,已啟用,23.079684,120.295510,https://cdn.gogoro.com/resources/images/gostations/TW7444401A_01.jpg
新莊福營休閒廣場站,新北市新莊區富國路176巷(近鴻金寶麻吉影城),24HR,已啟用,25.023881,121.424266,https://cdn.gogoro.com/resources/images/gostations/TW2426501A_01.jpg
昇冠加油站,新竹市北區經國路二段1號(近經國路二段/東大路口),24HR,已啟用,24.813603,120.967373,https://cdn.gogoro.com/resources/images/gostations/TW3005101A_01.jpg
普拉伯義大利坊竹北文興店站,新竹縣竹北市文興路一段273號(近文興路/嘉豐南路口),24HR,已啟用,24.809012,121.031764,https://cdn.gogoro.com/resources/images/gostations/TW3027201A_01.jpg
有情門裕農店站,台南市東區裕農路962號(近裕農路/裕信路口),24HR,已啟用,22.990047,120.244777,https://cdn.gogoro.com/resources/images/gostations/TW7016301A_01.jpg
東吳大學城區部站,台北市中正區延平南路133巷底(近東吳大學校區),24HR,已啟用,25.037808,121.509199,https://cdn.gogoro.com/resources/images/gostations/TW1004801A_01.jpg
東木河茶莊站(建置中),新北市坪林區北宜路8段206號(近坪林旅遊服務中心),24HR,建置中,24.934544,121.708456,https://cdn.gogoro.com/resources/images/gostations/TW2324201A_01.jpg
松山工農地下停車場站,台北市信義區忠孝東路5段236巷15號(地下一樓機車停車場)(近松山工農),24HR,已啟用,25.039061,121.572484,https://cdn.gogoro.com/resources/images/gostations/TW1106001A_01.jpg
機器人王國站,台北市中正區中華路二段165號(近中華路/莒光路口),24HR,已啟用,25.030812,121.504192,https://cdn.gogoro.com/resources/images/gostations/TW1006801A_01.jpg
永和仁愛公園站,新北市永和區仁愛路244-1號(近仁愛路與永貞路口),24HR,已啟用,25.009960,121.506013,https://cdn.gogoro.com/resources/images/gostations/TW2344301A_01.jpg
